gene	AUGLS01_trimmed	AUGLS05_trimmed	AUGLS16_trimmed	SEPLS01_trimmed	SEPLS05_trimmed	SEPLS16_trimmed
A4VLM0	5.916626248972758e-05	0.0	0.0	0.0	0.00011553293683603341	9.847807848896315e-05
A8A0L0	0.0	0.0	0.0	6.537851639165667e-05	0.0	0.0
AAB58161	5.300190992263814e-06	1.6979402741146684e-05	4.940233424629667e-06	9.503545066915728e-06	5.174795612908994e-06	0.0
AAC27754	5.325391970820961e-06	1.1222297168897998e-05	1.4891168706130278e-05	0.0	0.0	4.848259655814636e-06
AAC43174	2.2763868137566645e-05	1.1992680273730133e-05	3.1190285207549185e-05	9.796059669176097e-05	0.0	0.0
AAC44147	0.0	0.0	3.854530106983883e-05	0.0	0.0	0.0
AAC60780	0.0	0.0	0.0	0.0	4.3345267562726856e-05	1.4034010937540703e-05
AAC60781	0.0	0.0	0.0	0.0	1.9443347906551963e-05	0.0
AAC76696	0.0	4.5471055425103376e-05	0.0	0.0	0.0	0.0
AAG07763	7.333096131199465e-05	4.024262850202567e-05	4.678772050967378e-06	4.8524816855041255e-05	1.523546887669756e-05	2.9389994457436252e-05
AAK63223	0.0	0.0	0.0	0.00018635758258785174	0.0	0.0
AAK69613	0.0	0.0	0.0	0.0	0.0	3.873111842076184e-05
AAP43530	0.0	0.0	0.00011364504117434547	7.28731268072856e-05	0.0	3.777134241306686e-05
AAQ92181	2.013994135224408e-05	1.1282722569412101e-05	4.9400410179687916e-06	2.8509524800560204e-05	0.0	9.951827832388118e-06
AAR05762	0.0	0.0	0.0	0.0	0.0	0.00010499864661575303
AAR96043	0.0	3.800277904922276e-05	0.0	6.790450452497068e-05	4.108314080440273e-05	0.0
AAS87172	0.0032504558497012427	0.0017064809551144138	0.0029332528922649628	0.005277079193659274	0.0021320461729232775	0.0019193656712184664
AAS89471	0.0	0.0	0.0	0.0	0.0	6.0199224059698405e-05
AAZ14842	8.126364513266896e-05	0.0	0.0	0.0	4.007124078458985e-05	0.0
AAZ91706	8.126364513266896e-05	0.0	0.0	0.0	0.00011861087272238595	0.0
AB084246.gene.p01	0.0	0.00013403188905853415	0.0	7.450868326929451e-05	8.114176438176299e-05	3.861907827769929e-05
AB715422.1.gene3.p01	0.0	0.0	0.0	0.0	0.0	9.18738157887839e-05
ABB72057	0.00020935754419442064	0.0	0.0	0.0	0.0	0.0
ABC36050	5.23504601844134e-06	1.1031909469519897e-05	0.0	0.0	0.0	0.0
ABG69871	0.0	8.252032022116943e-05	9.413023612420535e-05	0.0	0.0	0.0
ABG71850	0.0	0.0	3.7652094449682136e-05	0.0	0.0	0.0
ABK51578	0.0	0.0	0.0	0.0	0.0	3.5437643911573035e-05
ABM94007	0.0012956331113110355	0.0012346045692923438	0.0006386984232175029	0.0011154446609968516	0.0007820500192703356	0.0006553794471972955
ABQ96629	5.9724557264153353e-05	0.0	0.0	0.0	0.00017493466407035997	0.00011327810978975507
ABR13270	1.399089124827774e-05	0.0	0.0	0.0	0.0	0.0
ABW39616	0.0	0.0	0.0	0.0	4.0570882190881496e-05	0.0
ACA48664	0.0	0.0	0.0	0.0	0.0	7.5249030074623e-05
ACB17731	0.0	0.0	1.2404938208055421e-05	0.0	1.2993924436326493e-05	0.0
ACB18310	0.0	0.0	9.785187516093861e-06	9.603980067819702e-06	0.0	0.0
ACI75321	0.0	4.581993820330111e-05	0.0	0.0	4.160850066123652e-05	0.0
ACN65403	0.00011944911452830671	0.0	0.0	0.0	0.0	0.0
AF001493.1.orf0.gene.p01	0.0	0.0	0.0	0.0002047581982599116	0.0	0.0
AF047479.2.gene10.p01	0.0	0.0	0.00011811018220907894	0.0	0.00012124369036785254	0.0
AF133140.gene.p01	4.1764420580984165e-05	0.0	0.0	0.0	0.0	7.92135569788103e-05
AF170880.4.gene1.p01	0.0	0.0	0.0	0.0	4.973264498546624e-05	0.0
AF191564.1.gene5.p01	0.00011571632969929712	0.00012316972138274877	0.0	0.0	0.0	0.0
AF250872.1.gene1.p1	0.00011069925806198495	4.7607877050674673e-05	0.00010752569280341918	0.0002946010811698728	0.00017065304641828823	0.0003856644345572811
AF313472.2.gene15.p01	0.0	0.0	0.0	0.0	5.118313092575476e-05	0.00023437113636725279
AF326777.3.gene18.p01	0.0009815281006822572	0.0015510488451087865	0.0014254928224014933	0.0021173802762562547	0.0008869906377945622	0.0010044199302015433
AF326777.3.gene20.p01	0.0	4.467729635284472e-05	0.0	0.0	0.0	3.9407222732346216e-05
AF332513.1.gene1.p01	5.826276740104471e-05	0.00012528388697545965	0.0	0.00010446846849995489	0.0	0.0
AF353562.gene.p01	0.0	9.419039545997837e-05	0.0	0.0	0.0	0.0
AF371964.1.gene1.p1	0.0	0.0	0.0	0.0	0.0001223227350266427	0.0
AF516720.1.gene1.p1	0.0	6.264194348772982e-05	0.0	0.0	0.0	0.0
AGC41079.1	0.0006390808684004476	0.00014051447715679005	0.0011231398291431654	0.00011716855682740038	0.0004402179369958824	0.0003048913642082372
AJ295238.gene.p01	0.0	0.0	0.0	0.0	5.091994916602028e-05	0.0
