subtype	AUGLS01_trimmed	AUGLS05_trimmed	AUGLS16_trimmed	SEPLS01_trimmed	SEPLS05_trimmed	SEPLS16_trimmed
aminoglycoside__AAC(2')-Ic	0.00017675829190752303	0.0	0.0	0.0	0.0	0.0
aminoglycoside__AAC(6')-IIa	9.056060585162383e-05	0.0	0.0	0.0	0.0	0.0
aminoglycoside__AAC(6')-Ib11	0.0	0.00018010387349858404	0.0	0.0	0.00025307214735512075	0.0
aminoglycoside__AAC(6')-Ib9	0.0	0.0	0.0	0.0	0.0	9.18738157887839e-05
aminoglycoside__APH(3'')-Ib	0.0	0.0	0.0	0.0	5.118313092575476e-05	0.0004243864785679573
aminoglycoside__aadA	8.754372119101451e-05	5.347939055967382e-05	0.0	0.0	0.00015801564970360362	0.00023008108494110226
aminoglycoside__aadA12	0.0	0.0	0.00010866136763235263	0.0	5.443594261413787e-05	0.0
aminoglycoside__aadA13	0.0	0.0	0.0	0.0	0.0	5.8438680714556275e-05
aminoglycoside__aadA2	0.0	6.917218470073642e-05	0.0	0.0	0.0	0.0
aminoglycoside__aadA23	0.0	0.0	0.0	0.0	0.0	0.00012202545417506434
aminoglycoside__aadA3	0.0	0.0	0.00011811018220907894	0.0	0.00012124369036785254	0.0
aminoglycoside__aadA8	0.0	0.0	0.0	0.0	0.0001818655355517788	0.0
aminoglycoside__aadA8b	6.33579904056988e-05	6.812013626422331e-05	0.0	0.0	0.0	0.0
aminoglycoside__amrB	1.0437768262809083e-05	0.0	0.0	9.548731860334643e-06	5.19940037025998e-06	5.050270474806912e-06
bacitracin__BahA	0.0	0.0	1.734900362608359e-05	0.0	0.0	3.866519311281161e-05
bacitracin__bacA	0.015990590214690705	0.011464602485407902	0.006198593607316663	0.008866023064333395	0.013710092062390423	0.012367547478822363
bacitracin__bcrA	0.0015626356704119809	0.001479863175341244	0.001198175099626787	0.0004191632323891241	0.0009210667429949174	0.0012240774039093349
beta_lactam__AER-1	0.0	0.0	0.0	0.0003931313419866724	0.0004741535016470238	0.00014242859179255948
beta_lactam__AQU-1	0.0	0.0	0.0	0.0	0.000168651670376524	0.0
beta_lactam__Escherichia coli ampC	0.0005953314447126638	0.0002774122639532637	0.0006104500972384592	0.0005500084748473487	0.00017175150280902664	0.0003161237701376318
beta_lactam__GES-15	0.0	0.0	0.0	0.0	0.0	5.3959060590095525e-05
beta_lactam__GOB-11	0.0	0.00011043860447768259	0.0	0.0	0.0	0.0
beta_lactam__Klebsiella pneumoniae OmpK37	0.0003608864357252946	0.00042250148472371195	0.00015448432869796054	0.0003946450027686531	8.699959229167636e-05	0.0002526677325339882
beta_lactam__LCR-1	0.0	0.0	0.0	0.0	0.0	0.00017990306574763715
beta_lactam__MYO-1	0.0	0.0	0.000142469297231598	0.0	8.807236921918274e-05	0.00021030123668223588
beta_lactam__OXA-1	0.0	0.0	0.0	0.0	0.0	8.021470211000421e-05
beta_lactam__OXA-10	0.0	0.0	0.0	0.0	0.0	0.00030592813150719534
beta_lactam__OXA-118	0.0	0.0	0.0	0.0	0.0001223227350266427	0.0
beta_lactam__OXA-12	6.311799801779843e-05	6.786210544504065e-05	0.0	0.0	0.0	0.0
beta_lactam__OXA-2	0.0	0.0	0.0	0.0	0.0	0.0001460967017863907
beta_lactam__OXA-21	0.0	0.0	0.0	0.0	5.9159722758339926e-05	5.7462895693348477e-05
beta_lactam__OXA-29	6.264342660413077e-05	0.0	0.0	0.00021566062188983168	5.993814016305492e-05	0.0
beta_lactam__OXA-36	0.0	0.0	0.0	0.0	5.993814016305492e-05	9.980397673055262e-05
beta_lactam__OXA-464	0.0	0.0	0.0	0.0	0.0	0.0003097999593902266
beta_lactam__OXA-5	0.0	0.0	0.0	0.00010966450318789272	6.093229872113663e-05	0.00011718556818362639
beta_lactam__Other class A beta-lactamase	0.0	0.0	0.0	0.0002039452695630519	0.00038090381223074494	0.0007313281161791689
beta_lactam__Other class C beta-lactamase	0.0	0.0	0.0	7.546500605970968e-05	0.0	4.1077587239674836e-05
beta_lactam__PAU-1	0.0003275759471187202	0.00012229075656990262	0.0	0.0005098631739076297	0.0007573655974966999	0.0003225178565450907
beta_lactam__PRC-1	0.0	0.0	0.0	0.0	0.0	4.1694713233959975e-05
beta_lactam__RCP-1	0.0	0.0	0.0	0.0	0.0	0.00015748363563740213
beta_lactam__Sed1 beta-lactamase	0.0	0.0	0.0	0.00018635758258785174	0.0	0.0
beta_lactam__TEM-1	0.002835843098633516	0.003663420173150036	0.0037697952769845207	0.003496725463659363	0.0026171315081661823	0.003526171303353479
beta_lactam__TEM-105	0.0	6.264194348772982e-05	0.0	0.0	0.0	0.0
beta_lactam__TEM-114	0.00017478830220313412	0.0	0.0	0.0	5.688434880609608e-05	0.0
beta_lactam__TEM-117	0.004302658794736428	0.004406096970420582	0.0042290491541720635	0.005246568102094965	0.0019389131026003397	0.003571250654187858
beta_lactam__TEM-118	0.00031921746123944036	0.00034321064822779185	0.0008926143080743611	0.001373700321424694	0.0006170971080826837	0.0006635753548649514
beta_lactam__TEM-12	0.00016663151476698786	0.00012277820923595046	0.00010643957469429373	0.00020684756762991068	0.00011149332365994831	0.0002751588659162264
beta_lactam__TEM-122	5.7097512053023815e-05	0.0	0.0	0.0	5.688434880609608e-05	5.525278432052738e-05
beta_lactam__TEM-123	0.0	0.0001885852193420077	0.00010899290498592197	0.00020967004905955857	0.0	5.54466537391959e-05
beta_lactam__TEM-125	0.0	0.0	4.127248814676695e-05	0.0	0.0	0.0
beta_lactam__TEM-129	0.0	0.0	0.0	0.0	0.0	5.414772863411684e-05
beta_lactam__TEM-133	0.0	0.00012528388697545965	0.0	0.0	0.0	0.0
beta_lactam__TEM-136	0.00028665281561314	0.0004835958037252743	9.88367479304156e-05	9.611099101995849e-05	9.329033204199757e-05	9.061456628566491e-05
beta_lactam__TEM-138	0.0	0.0	0.0	0.00010446846849995489	0.0	5.525278432052738e-05
beta_lactam__TEM-146	0.0	6.138910461797523e-05	0.0	0.0	0.0	0.0
beta_lactam__TEM-149	0.0	0.0	0.0	0.0	5.574666182997416e-05	0.0
beta_lactam__TEM-150	0.0	6.013626574822064e-05	0.0	0.0	0.0	0.0
beta_lactam__TEM-153	0.0	0.0	0.0	0.0	5.574666182997416e-05	0.0
beta_lactam__TEM-157	0.00023188581425615795	0.00012528388697545965	0.00027152952728136154	0.00020893693699990977	5.688434880609608e-05	0.00022101113728210952
beta_lactam__TEM-159	0.0	0.0	0.0	0.0	5.688434880609608e-05	5.414772863411684e-05
beta_lactam__TEM-16	0.00011419502410604763	0.0	0.0	0.0001023790991299558	0.0	5.414772863411684e-05
