type	AUGLS01_trimmed	AUGLS05_trimmed	AUGLS16_trimmed	SEPLS01_trimmed	SEPLS05_trimmed	SEPLS16_trimmed
aminoglycoside	0.0004286583776186693	0.0003708755850232176	0.00022677154984143157	9.548731860334643e-06	0.0008250154968885084	0.0009318557846622709
bacitracin	0.017553225885102688	0.012944465660749145	0.007414117710569533	0.009285186296722519	0.014631158805385338	0.01363029007584451
beta_lactam	0.015393767819228266	0.019342973386857795	0.01774878479371917	0.02472724062672518	0.013675411921955921	0.017926475236771787
chloramphenicol	0.007654614829041629	0.005586400999731526	0.007125073093485172	0.010344057509391059	0.0049042792713588695	0.006021197906288377
florfenicol	0.0	4.434553425121468e-05	0.0	0.0	0.0	0.0
fosfomycin	0.0	0.00010121805557904368	0.0	0.0	0.0	0.0
macrolide-lincosamide-streptogramin	0.003452672818359416	0.002575342138117833	0.0032211593197895468	0.0013489724668533942	0.003012860783739822	0.0030454057874964155
multidrug	0.010060907940898135	0.008692388836684817	0.007282531699108855	0.010174264207076946	0.009588106828746213	0.008934224890321543
mupirocin	0.004813532658561662	0.004369945797356236	0.002968504823845038	0.002178636591068183	0.0023666301819171053	0.0025176141296930966
novobiocin	0.0005900333013530816	0.0006242273074228904	0.0005789843178430959	0.0004095459947810246	0.0005073771751090883	0.0004027778697149033
other_peptide_antibiotics	0.00042239021558953074	0.00029346204516255385	0.0006394100411440862	0.000869178378877081	0.0002279431692518602	0.0002574803764554863
pleuromutilin_tiamulin	0.0	5.529504888114423e-05	9.443528781534861e-05	0.0	2.359998199541801e-05	0.00019313917719153236
polymyxin	0.007365111211979027	0.006230126489022092	0.0060794832744323225	0.005900182507956446	0.005762862114946867	0.005073384672521217
puromycin	0.0	0.0	0.0	0.0	5.886568835099231e-05	0.0
quinolone	0.0	0.0	0.0	0.0	0.0	9.908246046221443e-05
rifamycin	0.0	0.0	0.00015381068888001997	0.0002723554425834118	0.00019161066882843926	0.0
sulfonamide	0.004280360897623981	0.0029201818853645234	0.0001615499483248082	0.0016421700378878852	0.002268272733012003	0.0023247414871063153
tetracycline	0.0063656746296652114	0.006804471527024655	0.004228828194015243	0.008019591076741295	0.004573492638784982	0.003798106556288223
trimethoprim	0.0004400781031025577	0.00017639971286144722	0.0002644335556350753	0.0010802039642895335	9.296527862024844e-05	8.103741700344015e-05
