gene	AUGLS01_trimmed	AUGLS05_trimmed	AUGLS16_trimmed	SEPLS01_trimmed	SEPLS05_trimmed	SEPLS16_trimmed
A4VLM0	8.730631804741275e-05	0.0	0.0	0.0	0.00022119058933825012	0.0001770441663090935
A8A0L0	0.0	0.0	0.0	0.00012632149860339513	0.0	0.0
AAB58161	7.821013885454696e-06	2.4888744477617333e-05	8.47972971914895e-06	1.8362332477934613e-05	9.90727079801315e-06	0.0
AAC27754	7.8582006969319e-06	1.6449865224748647e-05	2.5560145640223368e-05	0.0	0.0	8.716214836684842e-06
AAC43174	3.359058740532775e-05	1.757910802193938e-05	5.3536982099790805e-05	0.0001892751634811527	0.0	0.0
AAC44147	0.0	0.0	6.61615974228906e-05	0.0	0.0	0.0
AAC60780	0.0	0.0	0.0	0.0	8.298555840254064e-05	2.5230384310230602e-05
AAC60781	0.0	0.0	0.0	0.0	3.7224757717900625e-05	0.0
AAC76696	0.0	6.665237269273609e-05	0.0	0.0	0.0	0.0
AAG07763	0.00010820788675199962	5.898844106379659e-05	8.030940848242547e-06	9.375752040415449e-05	2.9168671999258434e-05	5.283741464481193e-05
AAK63223	0.0	0.0	0.0	0.0003600719381207556	0.0	0.0
AAK69613	0.0	0.0	0.0	0.0	0.0	6.963091356205799e-05
AAP43530	0.0	0.0	0.0001950675505079486	0.0001408022557603697	0.0	6.790542555769089e-05
AAQ92181	2.971869526929379e-05	1.653843797234646e-05	8.47939946016316e-06	5.50848519673202e-05	0.0	1.7891424049609705e-05
AAR05762	0.0	0.0	0.0	0.0	0.0	0.000188766862015413
AAR96043	0.0	5.570522542017155e-05	0.0	0.0001312021019585263	7.865466225695351e-05	0.0
AAS87172	0.00479640457705708	0.0025013935469496208	0.005034821148392069	0.010196140701609822	0.004081853732797844	0.0034506409986589173
AAS89471	0.0	0.0	0.0	0.0	0.0	0.00010822633422217013
AAZ14842	0.00011991343291080254	0.0	0.0	0.0	7.67173553048118e-05	0.0
AAZ91706	0.00011991343291080254	0.0	0.0	0.0	0.0002270833717022429	0.0
AB084246.gene.p01	0.0	0.0001964665948199852	0.0	0.00014396240613903137	0.0001553478616147311	6.942948747793831e-05
AB715422.1.gene3.p01	0.0	0.0	0.0	0.0	0.0	0.00016517100426348638
ABB72057	0.0003089300484754605	0.0	0.0	0.0	0.0	0.0
ABC36050	7.72488532224314e-06	1.617079116815536e-05	0.0	0.0	0.0	0.0
ABG69871	0.0	0.00012095991805522966	0.00016157110244092714	0.0	0.0	0.0
ABG71850	0.0	0.0	6.462844097637085e-05	0.0	0.0	0.0
