subtype	AUGLS01_trimmed	AUGLS05_trimmed	AUGLS16_trimmed	SEPLS01_trimmed	SEPLS05_trimmed	SEPLS16_trimmed
aminoglycoside__AAC(2')-Ic	0.0002608262716184742	0.0	0.0	0.0	0.0	0.0
aminoglycoside__AAC(6')-IIa	0.00013363211946032562	0.0	0.0	0.0	0.0	0.0
aminoglycoside__AAC(6')-Ib11	0.0	0.0002639998211522869	0.0	0.0	0.0004845127195028335	0.0
aminoglycoside__AAC(6')-Ib9	0.0	0.0	0.0	0.0	0.0	0.00016517100426348638
aminoglycoside__APH(3'')-Ib	0.0	0.0	0.0	0.0	9.799133652866297e-05	0.0007629632040326283
aminoglycoside__aadA	0.00012918037482397568	7.839114877891944e-05	0.0	0.0	0.0003025247660085931	0.00041364042121774813
aminoglycoside__aadA12	0.0	0.0	0.0001865132574184999	0.0	0.00010421892282624773	0.0
aminoglycoside__aadA13	0.0	0.0	0.0	0.0	0.0	0.00010506122444774816
aminoglycoside__aadA2	0.0	0.00010139395691481861	0.0	0.0	0.0	0.0
aminoglycoside__aadA23	0.0	0.0	0.0	0.0	0.0	0.00021937770450439892
aminoglycoside__aadA3	0.0	0.0	0.00020273180154184773	0.0	0.00023212396447664272	0.0
aminoglycoside__aadA8	0.0	0.0	0.0	0.0	0.00034818594671496406	0.0
aminoglycoside__aadA8b	9.349167293041792e-05	9.985184350166546e-05	0.0	0.0	0.0	0.0
aminoglycoside__amrB	1.5402073365986523e-05	0.0	0.0	1.8449640416027987e-05	9.954377198387211e-06	9.079390454880043e-06
bacitracin__BahA	0.0	0.0	2.977892925307513e-05	0.0	0.0	6.951239285812256e-05
bacitracin__bacA	0.023595871976737074	0.016805041151730395	0.01063965888065907	0.017130540458115774	0.026248301360724927	0.022234411620060547
bacitracin__bcrA	0.0023058405431119976	0.00216921272169649	0.0020566236709374025	0.0008098887921781367	0.0017634044566187024	0.002200649797378164
beta_lactam__AER-1	0.0	0.0	0.0	0.0007595911166019944	0.0009077782954218974	0.00025605852266215746
beta_lactam__AQU-1	0.0	0.0	0.0	0.0	0.00032288768367765496	0.0
beta_lactam__Escherichia coli ampC	0.0008784769270280276	0.0004066363851396478	0.001047815231928716	0.0010627022242455065	0.0003288223875064702	0.0005683282025123703
beta_lactam__GES-15	0.0	0.0	0.0	0.0	0.0	9.700775079670127e-05
beta_lactam__GOB-11	0.0	0.00016188309148523435	0.0	0.0	0.0	0.0
beta_lactam__Klebsiella pneumoniae OmpK37	0.0005325275691007202	0.000619311035553672	0.000265166691653051	0.0007625157455001412	0.00016656281419119567	0.00045424675974666196
beta_lactam__LCR-1	0.0	0.0	0.0	0.0	0.0	0.00032343023727163917
beta_lactam__MYO-1	0.0	0.0	0.00024454333023577916	0.0	0.0001686166714488916	0.0003780801544208706
beta_lactam__OXA-1	0.0	0.0	0.0	0.0	0.0	0.00014421021692040436
beta_lactam__OXA-10	0.0	0.0	0.0	0.0	0.0	0.0005499984547247272
beta_lactam__OXA-118	0.0	0.0	0.0	0.0	0.00023418982145679388	0.0
beta_lactam__OXA-12	9.31375378056815e-05	9.947361682173491e-05	0.0	0.0	0.0	0.0
beta_lactam__OXA-2	0.0	0.0	0.0	0.0	0.0	0.0002626530611193704
beta_lactam__OXA-21	0.0	0.0	0.0	0.0	0.00011326271365001304	0.00010330695539388967
beta_lactam__OXA-29	9.243725556654103e-05	0.0	0.0	0.00041668998396452263	0.000114753012513829	0.0
beta_lactam__OXA-36	0.0	0.0	0.0	0.0	0.000114753012513829	0.00017942786989465047
beta_lactam__OXA-464	0.0	0.0	0.0	0.0	0.0	0.000556959237775753
beta_lactam__OXA-5	0.0	0.0	0.0	0.00021188893769481852	0.00011665635301031307	0.00021067654386506713
beta_lactam__Other class A beta-lactamase	0.0	0.0	0.0	0.00039405409461946473	0.0007292495197977803	0.0013147837428799133
beta_lactam__Other class C beta-lactamase	0.0	0.0	0.0	0.00014581017104256842	0.0	7.384940180014129e-05
beta_lactam__PAU-1	0.0004833742849448175	0.00017925621051834826	0.0	0.0009851352365486618	0.0014499946720177438	0.0005798235090281623
beta_lactam__PRC-1	0.0	0.0	0.0	0.0	0.0	7.495887264728142e-05
beta_lactam__RCP-1	0.0	0.0	0.0	0.0	0.0	0.00028312452280304917
beta_lactam__Sed1 beta-lactamase	0.0	0.0	0.0	0.0003600719381207556	0.0	0.0
beta_lactam__TEM-1	0.0041845979293494194	0.005369913771037762	0.006470715510320104	0.0067562193997793415	0.005010561286852302	0.006339360680511582
beta_lactam__TEM-105	0.0	9.182180014313992e-05	0.0	0.0	0.0	0.0
beta_lactam__TEM-114	0.0002579193354618872	0.0	0.0	0.0	0.00010890645543270484	0.0
beta_lactam__TEM-117	0.006349045577248964	0.006458544114431896	0.007259007968649342	0.01013718851023032	0.0037120958194673424	0.006420404464150417
beta_lactam__TEM-118	0.00047104042108620534	0.0005030849586386594	0.0015321397645260333	0.0026542034419196124	0.0011814472716941016	0.0011929776381501282
beta_lactam__TEM-12	0.00024588309980699916	0.00017997072828055424	0.00018269963122166376	0.000399661787504434	0.0002134566526481015	0.0004946813825592025
beta_lactam__TEM-122	8.425364958421649e-05	0.0	0.0	0.0	0.00010890645543270484	9.933361095566314e-05
beta_lactam__TEM-123	0.0	0.0002764319456940844	0.00018708232914212613	0.00040511526218773035	0.0	9.968214994147249e-05
beta_lactam__TEM-125	0.0	0.0	7.084271414717575e-05	0.0	0.0	0.0
beta_lactam__TEM-129	0.0	0.0	0.0	0.0	0.0	9.734693873654988e-05
beta_lactam__TEM-133	0.0	0.00018364360028627985	0.0	0.0	0.0	0.0
beta_lactam__TEM-136	0.0004229877101574951	0.0007088642971050401	0.0001696496575629735	0.00018570143661822186	0.00017860658690963595	0.00016290712196728756
beta_lactam__TEM-138	0.0	0.0	0.0	0.000201849387628502	0.0	9.933361095566314e-05
beta_lactam__TEM-146	0.0	8.998536414027712e-05	0.0	0.0	0.0	0.0
beta_lactam__TEM-149	0.0	0.0	0.0	0.0	0.00010672832632405075	0.0
beta_lactam__TEM-150	0.0	8.814892813741433e-05	0.0	0.0	0.0	0.0
beta_lactam__TEM-153	0.0	0.0	0.0	0.0	0.00010672832632405075	0.0
beta_lactam__TEM-157	0.00034217298504610373	0.00018364360028627985	0.00046607048781036666	0.000403698775257004	0.00010890645543270484	0.00039733444382265257
beta_lactam__TEM-159	0.0	0.0	0.0	0.0	0.00010890645543270484	9.734693873654988e-05
beta_lactam__TEM-16	0.00016850729916843298	0.0	0.0	0.000197812399875932	0.0	9.734693873654988e-05
beta_lactam__TEM-162	0.0016162945022278267	0.0017299227146967563	0.0032382577493064277	0.004234800152445972	0.00192982239026753	0.001186043314810618
beta_lactam__TEM-164	0.0	0.0	0.0	0.0	0.0	0.00019866722191132628
beta_lactam__TEM-167	8.253418734780392e-05	0.0	0.0	0.0	0.0	0.0
beta_lactam__TEM-177	8.425364958421649e-05	8.998536414027712e-05	0.0	0.0	0.0	0.0
beta_lactam__TEM-178	0.00032784413307599894	0.00025984602895243934	0.0006192425094604376	0.0011221692762600132	0.0004218539317175047	0.000757584339555191
beta_lactam__TEM-182	0.0	0.0	0.0	0.0	0.0	9.734693873654988e-05
