	contig_id	contig_name	contig_length	id	label	chromosome.Acidobacteria	chromosome.Actinobacteria	chromosome.Bacteroidetes	chromosome.Chlamydiae	chromosome.Chlorobi	chromosome.Chloroflexi	chromosome.Cyanobacteria	chromosome.DeinococcusThermus	chromosome.Firmicutes	chromosome.Fusobacteria	chromosome.Nitrospirae	chromosome.other	chromosome.Planctomycetes	chromosome.Proteobacteria	chromosome.Spirochaetes	chromosome.Tenericutes	chromosome.Thermotogae	chromosome.Verrucomicrobia	plasmid.Actinobacteria	plasmid.Bacteroidetes	plasmid.Chlamydiae	plasmid.Cyanobacteria	plasmid.DeinococcusThermus	plasmid.Firmicutes	plasmid.Fusobacteria	plasmid.other	plasmid.Proteobacteria	plasmid.Spirochaetes
0	0	AUGLS01_NODE_3015_length_7643_cov_37.750923	7643	26	plasmid.Proteobacteria	0.004555877	6.6981897e-06	5.7379275e-06	0.0045019747	0.00043260786	0.007931625	0.005730012	0.00031070833	1.1569588e-05	1.6364043e-05	0.0026957355	0.00058104197	0.03664455	0.0033347618	0.0005694991	2.9137873e-05	0.0010029419	0.0021865957	9.52958e-05	0.00015826913	0.0028058386	0.06347557	0.0027922553	2.5079405e-06	6.863586e-05	0.09918118	0.76087284	1.914827e-07
1	1	AUGLS01_NODE_6876_length_4772_cov_17.365911	4772	26	plasmid.Proteobacteria	3.9567135e-06	1.1295236e-06	2.1075125e-06	1.2517671e-05	0.00014586489	3.9156625e-05	3.5804237e-07	4.1937415e-06	1.5606562e-05	9.3794284e-07	5.0445855e-05	2.3891977e-05	1.7116034e-06	0.25274405	7.840829e-06	3.8109087e-07	2.6275538e-06	4.699123e-05	2.6731e-07	2.0806956e-05	1.7547342e-06	7.1277265e-07	4.275112e-06	3.0395842e-05	2.7553754e-06	8.5318e-05	0.74674994	7.3245645e-09
2	2	AUGLS01_NODE_23573_length_2387_cov_3.689108	2387	26	plasmid.Proteobacteria	0.0008371235	0.013036369	7.993099e-07	0.0005120673	0.0003688618	0.00036163686	0.00032693715	8.100351e-05	0.0013475274	4.3754786e-05	0.004791676	0.0023762197	0.00982999	0.112591095	0.00085015333	7.872279e-06	0.00013536839	0.006623121	0.06782324	9.218659e-06	0.0002783139	4.4474422e-05	6.479773e-05	0.0022996655	0.0001147049	0.04475988	0.73044676	3.7384627e-05
3	3	AUGLS01_NODE_24675_length_2326_cov_4.261118	2326	13	chromosome.Proteobacteria	0.0017465953	0.0019612832	1.1746881e-05	1.3860338e-05	0.000486254	0.0018107621	1.37128045e-05	0.0013221457	3.356765e-05	2.6666203e-06	0.00027913097	0.0035114845	9.653834e-05	0.9450814	0.0025053392	1.1731942e-07	3.925094e-06	0.0026614303	1.6864842e-06	7.801272e-06	1.5467285e-06	2.094094e-07	1.4437133e-05	1.0801494e-08	6.768428e-06	0.00094225025	0.03747749	5.786053e-06
4	4	AUGLS01_NODE_62018_length_1375_cov_2.282576	1375	26	unclassified.Proteobacteria	9.848903e-06	2.6662858e-07	5.0286598e-08	4.0807754e-06	2.2410866e-05	4.673821e-05	3.9117958e-07	0.00074253394	4.2569695e-10	1.3289444e-07	8.372764e-06	6.153135e-06	6.5545078e-06	0.33154142	0.00042747447	1.9480336e-08	6.072906e-07	2.3427048e-05	3.1248416e-07	6.3079204e-07	1.6131684e-06	2.8600123e-06	0.00097534945	6.355605e-08	3.8787138e-07	0.00010038232	0.6660774	4.930731e-07
5	5	AUGLS01_NODE_63818_length_1353_cov_1.841294	1353	6	unclassified.unclassified	0.00012472057	0.001085746	2.0974141e-05	0.012810883	0.00021948852	0.0003654936	0.3092071	0.00023677468	0.0173432	0.0042235	0.006297288	0.001630196	0.024082923	0.009471231	0.0032459155	0.07383082	0.0028424542	0.0026169147	6.4861747e-06	0.003641891	0.020152526	0.0032202462	0.0006846066	0.10156425	0.002251405	0.06975603	0.32082722	0.00823968
6	6	AUGLS01_NODE_66976_length_1315_cov_2.405556	1315	26	unclassified.Proteobacteria	0.009679931	0.021637863	0.00026310966	0.0027341333	0.0053510596	0.02067068	0.0009102106	0.0053264066	1.2744783e-05	9.183278e-05	0.0024773395	0.012801397	0.008825212	0.304252	0.011130997	8.1814105e-05	0.001343354	0.009240181	0.00016736408	0.005152321	0.00081046025	0.005653452	0.019953778	7.622426e-05	0.00015086228	0.022273332	0.52774674	0.0011852775
7	7	AUGLS01_NODE_72288_length_1259_cov_2.937708	1259	2	unclassified.unclassified	0.016494	0.035863016	0.17262982	0.0028640165	0.011008698	0.0066062734	0.00030863736	0.0005557285	0.20870693	0.00084419246	0.00506991	0.079871126	0.002654698	0.0077273487	0.023613641	5.08767e-05	0.013025525	0.011527802	1.9194204e-05	0.053357054	0.00030202392	0.0004934164	0.00022670081	0.00017081616	0.0018032189	0.02601813	0.31743956	0.00074766506
8	8	AUGLS01_NODE_99430_length_1047_cov_1.972782	1047	1	unclassified.unclassified	0.08093671	0.5017331	0.008112262	9.7600605e-05	0.003142731	0.010763896	1.2775672e-05	0.001018891	3.7600363e-05	1.4761531e-05	0.00070291694	0.031094564	0.00079489296	0.0018671917	0.008076475	4.5271895e-07	0.0009794421	0.0026950373	0.0050332826	0.0038376534	6.6485386e-06	1.9116493e-05	0.0015953839	8.944182e-06	4.4844466e-05	0.0031014308	0.33426604	5.4245206e-06
9	9	AUGLS01_NODE_99877_length_1044_cov_1.948433	1044	26	plasmid.Proteobacteria	1.4909828e-05	2.5944992e-06	1.03326245e-08	7.706679e-06	3.524569e-05	0.000115833944	1.3746002e-05	6.464581e-05	7.314728e-09	9.1216606e-07	2.176605e-05	1.8016548e-05	5.138088e-05	0.12691467	0.000104258455	1.0233733e-06	2.4096746e-06	6.330791e-05	3.5519022e-07	5.145921e-06	7.68597e-06	2.1486636e-05	2.9317167e-05	2.8119412e-06	1.8878983e-06	0.00056964555	0.87192637	2.827723e-06
